time,torque,RPM,current,voltage
2.787838935852051,0.57,780.00,-40.83,10.14
3.795336961746216,0.57,759.24,-39.36,8.89
4.78696870803833,0.56,720.72,-39.85,9.00
5.79461145401001,0.57,720.00,-41.07,7.81
6.786418914794922,0.58,699.30,-40.58,7.32
7.793825626373291,0.58,700.00,-39.61,7.89
8.786021709442139,0.58,700.70,-39.85,10.16
9.77738618850708,0.58,699.30,-40.34,9.08
10.785090923309326,0.59,700.00,-40.83,10.16
11.776978254318237,0.58,700.70,-40.83,6.97
12.784613609313965,0.58,700.00,-39.85,10.38
13.776330709457397,0.58,699.30,-40.83,9.19
14.783703327178955,0.59,680.00,-39.85,10.00
15.775369644165039,0.59,700.70,-40.34,6.72
16.782819271087646,0.59,699.30,-40.34,9.59
17.774720430374146,0.58,680.00,-39.36,8.24
18.76647639274597,0.58,700.70,-40.58,8.46
19.774166584014893,0.58,699.30,-40.09,10.25
20.76586365699768,0.58,700.00,-40.83,6.61
21.773199558258057,0.60,680.68,-39.85,9.70
22.765119552612305,0.59,699.30,-40.58,6.86
23.772515296936035,0.58,700.00,-39.85,9.38
24.764537572860718,0.59,700.70,-39.85,8.08
25.75581407546997,0.59,680.00,-39.85,9.38
26.76377820968628,0.60,699.30,-40.34,9.65
27.755508422851562,0.59,700.00,-40.09,9.84
28.763153314590454,0.59,720.00,-41.07,8.97
29.754765272140503,0.58,700.70,-41.07,7.91
30.762168645858765,0.58,700.00,-40.58,7.48
31.754334926605225,0.59,699.30,-40.58,7.53
32.74580502510071,0.61,720.00,-40.34,7.35
33.75349426269531,0.59,700.70,-40.58,8.73
34.82506036758423,0.60,704.36,-40.58,9.73
35.75274610519409,0.59,694.90,-40.34,7.29
36.74447226524353,0.59,700.00,-40.34,7.32
37.75179886817932,0.59,699.30,-39.61,8.67
38.74372363090515,0.59,700.70,-40.34,7.56
39.73562932014465,0.60,700.00,-39.36,9.41
40.743255615234375,0.62,739.26,-41.07,11.46
41.73484134674072,0.74,1500.00,-40.83,16.05
42.742448806762695,0.69,2102.10,-39.85,16.45
43.73415422439575,0.63,2120.00,-40.58,16.48
44.74169301986694,0.63,2120.00,-40.09,16.45
45.73319864273071,0.64,2120.00,-40.58,16.42
46.725154399871826,0.64,2117.88,-39.85,16.42
47.73290824890137,0.64,2120.00,-39.85,16.48
48.72448921203613,0.63,2140.00,-40.34,16.42
49.73223948478699,0.63,2120.00,-40.34,16.45
50.72378444671631,0.64,2120.00,-40.09,16.48
51.73129367828369,0.63,2142.14,-40.83,16.48
52.7231388092041,0.63,2140.00,-40.83,16.45
53.71502685546875,0.64,2120.00,-40.34,16.42
54.72251653671265,0.65,2140.00,-40.09,16.42
55.71443176269531,0.65,2120.00,-40.83,16.45
56.72192358970642,0.64,2140.00,-40.09,16.42
57.71355605125427,0.64,2140.00,-40.58,16.40
58.720930337905884,0.64,2120.00,-40.58,16.45
59.712830543518066,0.64,2137.86,-39.85,16.48
60.72011971473694,0.64,2140.00,-40.09,16.42
61.712318897247314,0.65,2120.00,-39.85,16.42
62.703975677490234,0.65,2140.00,-39.61,16.40
63.71165466308594,0.65,2140.00,-39.61,16.42
64.70325970649719,0.65,2120.00,-40.58,16.45
65.71064162254333,0.66,2140.00,-39.85,16.40
66.70262384414673,0.65,2122.12,-39.85,16.45
67.70995473861694,0.65,2140.00,-40.58,16.51
68.7018780708313,0.65,2137.86,-41.07,16.37
69.69359087944031,0.65,2120.00,-40.58,16.48
70.70141291618347,0.67,2140.00,-40.58,16.42
71.69299125671387,0.66,2122.12,-40.58,16.42
72.70034575462341,0.66,2140.00,-40.58,16.42
73.69249892234802,0.67,2140.00,-40.83,16.40
74.69963359832764,0.67,2120.00,-40.58,16.40
75.69172072410583,0.67,2140.00,-40.34,16.42
76.68325757980347,0.67,2120.00,-40.34,16.45
77.69087147712708,0.68,2137.86,-40.34,16.42
78.6826605796814,0.68,2140.00,-40.34,16.42
79.69019722938538,0.67,2120.00,-40.58,16.45
80.68212056159973,0.67,2140.00,-39.85,16.48
81.68914198875427,0.65,2120.00,-40.34,16.51
82.68114423751831,0.69,2100.00,-40.34,16.15
83.67286729812622,0.75,1761.76,-40.34,15.99
84.68053865432739,0.72,2100.00,-40.09,16.51
85.6722412109375,0.65,2140.00,-39.85,16.42
86.67975854873657,0.66,2120.00,-41.07,16.45
87.67162680625916,0.74,1898.10,-40.83,14.83
88.6789002418518,0.80,1400.00,-40.83,14.45
89.67113542556763,0.79,1780.00,-40.83,16.21
90.66265487670898,0.78,1980.00,-40.58,15.56
91.67013096809387,0.80,1321.32,-40.58,13.55
92.66196060180664,0.81,1720.00,-39.85,16.42
93.66942834854126,0.69,2140.00,-40.58,16.42
94.66124987602234,0.65,2120.00,-40.83,16.45
95.668466091156,0.66,2140.00,-40.34,16.48
96.66042375564575,0.66,2140.00,-40.09,16.40
97.65199995040894,0.66,2120.00,-40.09,16.34
98.65973329544067,0.65,2140.00,-40.58,16.40
99.65129351615906,0.65,2140.00,-39.61,16.51
100.65906834602356,0.66,2137.86,-40.83,16.40
101.650643825531,0.76,2060.00,-41.56,15.34
102.65818214416504,0.96,1140.00,-41.32,16.07
103.65006947517395,0.78,2120.00,-40.34,16.45
104.6417772769928,0.74,2120.00,-40.34,16.42
105.64957547187805,0.77,2120.00,-40.83,16.40
106.64122486114502,0.90,2060.00,-41.56,16.37
